n,planta,especie,tratamiento,dato,fruitset,seedset2
373,t11,ot,os,1,1,65
374,t11,ot,cn,1,1,
375,t12,ot,ag,1,0,0
376,t12,ot,au,1,1,28
377,t12,ot,en,1,1,29
378,t12,ot,oc,1,1,
379,t12,ot,or,1,1,34
380,t12,ot,os,1,1,31
381,t12,ot,cn,1,1,37
382,t13,ot,ag,1,0,0
383,t13,ot,au,1,1,30
384,t13,ot,en,1,1,40
385,t13,ot,oc,1,1,
386,t13,ot,or,1,1,
387,t13,ot,os,1,1,10
388,t13,ot,cn,1,1,20
389,t14,ot,ag,1,0,0
390,t14,ot,au,1,1,
391,t14,ot,en,1,1,51
392,t14,ot,oc,1,1,5
393,t14,ot,or,1,1,
394,t14,ot,os,1,1,33
395,t14,ot,cn,1,1,60
396,t16,ot,ag,1,0,0
397,t16,ot,au,1,1,20
398,t16,ot,en,1,1,55
399,t16,ot,oc,1,1,30
400,t16,ot,or,1,1,30
401,t16,ot,os,1,1,30
402,t16,ot,cn,1,1,
403,t19,ot,ag,1,0,0
404,t19,ot,au,1,1,
405,t19,ot,en,1,1,51
406,t19,ot,oc,1,1,5
407,t19,ot,or,1,1,
408,t19,ot,os,1,1,33
409,t19,ot,cn,1,1,39
410,t21,ot,ag,1,0,0
411,t21,ot,au,1,1,59
412,t21,ot,en,1,1,60
413,t21,ot,oc,1,1,20
414,t21,ot,or,1,1,6
415,t21,ot,os,1,1,
416,t21,ot,cn,1,0,0
417,t22,ot,ag,1,0,0
418,t22,ot,au,1,1,58
419,t22,ot,en,1,1,63
420,t22,ot,oc,1,1,25
421,t22,ot,or,1,1,65
422,t22,ot,os,1,1,36
423,t22,ot,cn,1,1,76
424,t23,ot,ag,1,0,0
425,t23,ot,au,1,1,75
426,t23,ot,en,1,1,46
427,t23,ot,oc,1,1,46
428,t23,ot,or,1,1,
429,t23,ot,os,1,1,26
430,t23,ot,cn,1,1,77
431,t24,ot,ag,1,0,0
432,t24,ot,au,1,1,66
433,t24,ot,en,1,1,79
434,t24,ot,oc,1,1,50
435,t24,ot,or,1,1,12
436,t24,ot,os,1,1,89
437,t24,ot,cn,1,1,71
438,t25,ot,ag,1,0,0
439,t25,ot,au,1,1,54
440,t25,ot,en,1,1,66
441,t25,ot,oc,1,1,67
442,t25,ot,or,1,1,74
443,t25,ot,os,1,1,24
444,t25,ot,cn,1,1,94
445,t26,ot,ag,1,1,7
446,t26,ot,au,1,1,44
447,t26,ot,en,1,1,45
448,t26,ot,oc,1,1,
449,t26,ot,or,1,1,35
450,t26,ot,os,1,1,
451,t26,ot,cn,1,1,44
452,t27,ot,ag,1,0,0
453,t27,ot,au,1,1,47
454,t27,ot,en,1,1,15
455,t27,ot,oc,1,1,24
456,t27,ot,or,1,0,0
457,t27,ot,os,1,1,52
458,t27,ot,cn,1,1,56
459,t32,ot,ag,1,0,0
460,t32,ot,au,1,1,62
461,t32,ot,en,1,1,58
